HTTP,path,controller,javaMethod,출처,선언파일,line
POST,/anonymous/arms/blog/addBlog.do,BlogController,addBlog,자체,com/arms/api/blog/controller/BlogController.java,50
POST,/anonymous/arms/blog/addNode.do,BlogController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
PUT,/anonymous/arms/blog/alterNode.do,BlogController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/anonymous/arms/blog/alterNodeType.do,BlogController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/anonymous/arms/blog/analyzeNode.do,BlogController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
GET,/anonymous/arms/blog/getBlog.do,BlogController,getBlog,자체,com/arms/api/blog/controller/BlogController.java,45
GET,/anonymous/arms/blog/getChildNode.do,BlogController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/anonymous/arms/blog/getMonitor.do,BlogController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/anonymous/arms/blog/getNode.do,BlogController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
GET,/anonymous/arms/blog/getNodesWithoutRoot.do,BlogController,getNodesWithoutRoot,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,108
GET,/anonymous/arms/blog/getPaginatedBlogList.do,BlogController,getPaginatedBlogList,자체,com/arms/api/blog/controller/BlogController.java,80
GET,/anonymous/arms/blog/getPaginatedChildNode.do,BlogController,getPaginatedChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,131
GET,/anonymous/arms/blog/hot/getKeywordList.do,BlogController,getHotKeywordList,자체,com/arms/api/blog/controller/BlogController.java,87
GET,/anonymous/arms/blog/latest/getBlogList.do,BlogController,getLatestBlogList,자체,com/arms/api/blog/controller/BlogController.java,65
POST,/anonymous/arms/blog/moveNode.do,BlogController,moveNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,264
GET,/anonymous/arms/blog/popular/getBlogList.do,BlogController,getPopularBlogList,자체,com/arms/api/blog/controller/BlogController.java,70
GET,/anonymous/arms/blog/recommended/getBlogList.do,BlogController,getRecommendedBlogList,자체,com/arms/api/blog/controller/BlogController.java,75
DELETE,/anonymous/arms/blog/removeBlog.do,BlogController,removeBlog,자체,com/arms/api/blog/controller/BlogController.java,60
DELETE,/anonymous/arms/blog/removeNode.do,BlogController,removeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,191
GET,/anonymous/arms/blog/searchBlogList.do,BlogController,searchBlogList,자체,com/arms/api/blog/controller/BlogController.java,101
GET,/anonymous/arms/blog/searchNode.do,BlogController,searchNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,155
GET,/anonymous/arms/blog/send-message,BlogController,sendMessage,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,309
PUT,/anonymous/arms/blog/updateBlog.do,BlogController,updateBlog,자체,com/arms/api/blog/controller/BlogController.java,55
PUT,/anonymous/arms/blog/updateNode.do,BlogController,updateNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,217
POST,/admin/arms/analysis/cost/assignee-calculation,CostController,calculateAssigneeCost,자체,com/arms/api/analysis/cost/controller/CostController.java,92
POST,/admin/arms/analysis/cost/calculation,CostController,calculateCost,자체,com/arms/api/analysis/cost/controller/CostController.java,77
POST,/admin/arms/analysis/cost/personal-estimated-period-cost,CostController,getEstimatedPeriodCostByAccountId,자체,com/arms/api/analysis/cost/controller/CostController.java,71
POST,/admin/arms/analysis/cost/product-accumulate-cost-by-month,CostController,candleStickChartAPI,자체,com/arms/api/analysis/cost/controller/CostController.java,63
POST,/admin/arms/analysis/cost/req-linked-issue,CostController,getLinkedJiraIssuesByVersionAndRequirement,자체,com/arms/api/analysis/cost/controller/CostController.java,34
POST,/admin/arms/analysis/cost/requirement-calculation,CostController,calculateRequirementCost,자체,com/arms/api/analysis/cost/controller/CostController.java,87
POST,/admin/arms/analysis/cost/to-be/calculation,CostController,toBeCalculateCost,자체,com/arms/api/analysis/cost/controller/CostController.java,97
POST,/admin/arms/analysis/cost/version-calculation,CostController,calculateVersionCost,자체,com/arms/api/analysis/cost/controller/CostController.java,82
POST,/admin/arms/analysis/cost/version-req-assignees,CostController,getAssigneeList,자체,com/arms/api/analysis/cost/controller/CostController.java,26
POST,/admin/arms/analysis/cost/{changeReqTableName}/req-difficulty-priority-list,CostController,getRequirementListStats,자체,com/arms/api/analysis/cost/controller/CostController.java,49
GET,/arms/dashboard/aggregate-weekly-req-issue-status,DashboardController,requirementsJiraIssueStatuses,자체,com/arms/api/dashboard/controller/DashboardController.java,37
GET,/arms/dashboard/assignees-requirements-involvements-v3,DashboardController,findTreeMapChartDataV3,자체,com/arms/api/dashboard/controller/DashboardController.java,56
GET,/arms/dashboard/global/config/test,DashboardController,getConfigTest,자체,com/arms/api/dashboard/controller/DashboardController.java,86
GET,/arms/dashboard/top-req-assignee,DashboardController,findTopNReqAssignee,자체,com/arms/api/dashboard/controller/DashboardController.java,64
GET,/arms/dashboard/top-req-state-info/{changeReqTableName}/getReqAddListByFilter,DashboardController,findTopNAssigneeReqStateInfo,자체,com/arms/api/dashboard/controller/DashboardController.java,77
GET,/arms/dashboard/version-assignee-summary,DashboardController,versionAssigneeIssueSummary,자체,com/arms/api/dashboard/controller/DashboardController.java,45
POST,/arms/detail-dashboard/contribution,DetailDashboardController,contribution,자체,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,56
POST,/arms/detail-dashboard/{changeReqTableName}/project-status,DetailDashboardController,projectStatus,자체,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,27
POST,/arms/detail-dashboard/{changeReqTableName}/quality,DetailDashboardController,quality,자체,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,41
POST,/arms/detail-dashboard/{changeReqTableName}/requirement-overview,DetailDashboardController,requirementOverview,자체,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,48
POST,/arms/detail-dashboard/{changeReqTableName}/time-compliance,DetailDashboardController,timeCompliance,자체,com/arms/api/detail_dashboard/controller/DetailDashboardController.java,34
POST,/arms/dynamicDBMaker/addNode.do,DynamicDBMakerController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
PUT,/arms/dynamicDBMaker/alterNode.do,DynamicDBMakerController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/arms/dynamicDBMaker/alterNodeType.do,DynamicDBMakerController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/arms/dynamicDBMaker/analyzeNode.do,DynamicDBMakerController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
GET,/arms/dynamicDBMaker/createSchema,DynamicDBMakerController,createSchema,자체,com/arms/api/util/dynamicdbmaker/controller/DynamicDBMakerController.java,48
GET,/arms/dynamicDBMaker/getChildNode.do,DynamicDBMakerController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/arms/dynamicDBMaker/getMonitor.do,DynamicDBMakerController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/arms/dynamicDBMaker/getNode.do,DynamicDBMakerController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
GET,/arms/dynamicDBMaker/getNodesWithoutRoot.do,DynamicDBMakerController,getNodesWithoutRoot,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,108
GET,/arms/dynamicDBMaker/getPaginatedChildNode.do,DynamicDBMakerController,getPaginatedChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,131
POST,/arms/dynamicDBMaker/moveNode.do,DynamicDBMakerController,moveNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,264
DELETE,/arms/dynamicDBMaker/removeNode.do,DynamicDBMakerController,removeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,191
GET,/arms/dynamicDBMaker/searchNode.do,DynamicDBMakerController,searchNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,155
GET,/arms/dynamicDBMaker/send-message,DynamicDBMakerController,sendMessage,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,309
PUT,/arms/dynamicDBMaker/updateNode.do,DynamicDBMakerController,updateNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,217
GET,/arms/backoffice/es-index/index-status/histories,EsIndexConfigController,indexJobHistories,자체,com/arms/api/backoffice/config/esindex/controller/EsIndexConfigController.java,29
GET,/arms/backoffice/es-index/sum-list,EsIndexConfigController,esIndexSumList,자체,com/arms/api/backoffice/config/esindex/controller/EsIndexConfigController.java,24
POST,/arms/fileRepository/addNode.do,FileRepositoryController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
PUT,/arms/fileRepository/alterNode.do,FileRepositoryController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/arms/fileRepository/alterNodeType.do,FileRepositoryController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/arms/fileRepository/analyzeNode.do,FileRepositoryController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
POST,/arms/fileRepository/deleteFileByNode/{fileId},FileRepositoryController,deleteFileByNode,자체,com/arms/api/util/filerepository/controller/FileRepositoryController.java,78
GET,/arms/fileRepository/downloadFileByNode/{fileId},FileRepositoryController,downloadFile,자체,com/arms/api/util/filerepository/controller/FileRepositoryController.java,93
GET,/arms/fileRepository/getChildNode.do,FileRepositoryController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/arms/fileRepository/getFilesByNode.do,FileRepositoryController,getFilesByNode,자체,com/arms/api/util/filerepository/controller/FileRepositoryController.java,63
GET,/arms/fileRepository/getMonitor.do,FileRepositoryController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/arms/fileRepository/getNode.do,FileRepositoryController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
GET,/arms/fileRepository/getNodesWithoutRoot.do,FileRepositoryController,getNodesWithoutRoot,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,108
GET,/arms/fileRepository/getPaginatedChildNode.do,FileRepositoryController,getPaginatedChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,131
POST,/arms/fileRepository/moveNode.do,FileRepositoryController,moveNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,264
DELETE,/arms/fileRepository/removeNode.do,FileRepositoryController,removeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,191
GET,/arms/fileRepository/searchNode.do,FileRepositoryController,searchNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,155
GET,/arms/fileRepository/send-message,FileRepositoryController,sendMessage,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,309
PUT,/arms/fileRepository/updateNode.do,FileRepositoryController,updateNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,217
POST,/arms/fileRepositoryLog/addNode.do,FileRepositoryLogController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
PUT,/arms/fileRepositoryLog/alterNode.do,FileRepositoryLogController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/arms/fileRepositoryLog/alterNodeType.do,FileRepositoryLogController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/arms/fileRepositoryLog/analyzeNode.do,FileRepositoryLogController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
GET,/arms/fileRepositoryLog/getChildNode.do,FileRepositoryLogController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/arms/fileRepositoryLog/getMonitor.do,FileRepositoryLogController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/arms/fileRepositoryLog/getNode.do,FileRepositoryLogController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
GET,/arms/fileRepositoryLog/getNodesWithoutRoot.do,FileRepositoryLogController,getNodesWithoutRoot,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,108
GET,/arms/fileRepositoryLog/getPaginatedChildNode.do,FileRepositoryLogController,getPaginatedChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,131
POST,/arms/fileRepositoryLog/moveNode.do,FileRepositoryLogController,moveNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,264
DELETE,/arms/fileRepositoryLog/removeNode.do,FileRepositoryLogController,removeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,191
GET,/arms/fileRepositoryLog/searchNode.do,FileRepositoryLogController,searchNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,155
GET,/arms/fileRepositoryLog/send-message,FileRepositoryLogController,sendMessage,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,309
PUT,/arms/fileRepositoryLog/updateNode.do,FileRepositoryLogController,updateNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,217
GET,/arms/report/full-data/assignee-list,FullDataController,getAssignees,자체,com/arms/api/report/fulldata/controller/FullDataController.java,30
GET,/arms/report/full-data/excel-data-down-v2,FullDataController,getExcelDataDownV2,자체,com/arms/api/report/fulldata/controller/FullDataController.java,45
GET,/arms/report/full-data/excel-data-v2,FullDataController,getExcelDataV2,자체,com/arms/api/report/fulldata/controller/FullDataController.java,37
GET,/html/mail/chart.html,GenerateChartImageController,getChartPage,자체,com/arms/api/report/mail/controller/GenerateChartImageController.java,21
POST,/html/mail/save-chart,GenerateChartImageController,saveChart,자체,com/arms/api/report/mail/controller/GenerateChartImageController.java,37
POST,/arms/globaltreemap/addGlobalTreeMap.do,GlobalTreeMapController,addGlobalTreeMap,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,83
PUT,/arms/globaltreemap/alterGlobalTreeMap.do,GlobalTreeMapController,alterGlobalTreeMap,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,97
DELETE,/arms/globaltreemap/delete/{mapKey},GlobalTreeMapController,deleteMapList,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,62
GET,/arms/globaltreemap/find,GlobalTreeMapController,findMapList,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,32
GET,/arms/globaltreemap/findBy,GlobalTreeMapController,findMap,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,39
GET,/arms/globaltreemap/getAllGlobalTreeMap.do,GlobalTreeMapController,getAllGlobalTreeMap,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,69
GET,/arms/globaltreemap/getConnectInfo/pdService/pdServiceVersion/jiraProject.do,GlobalTreeMapController,getConnectInfo_pdService_pdServiceVersion_jiraProject,자체,com/arms/api/globaltreemap/controller/GlobalTreeMapController.java,30
DELETE,/arms/globaltreemap/removeGlobalTreeMap.do,GlobalTreeMapController,removeGlobalTreeMap,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,111
POST,/arms/globaltreemap/save,GlobalTreeMapController,saveMapList,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,44
POST,/arms/globaltreemap/saveOne,GlobalTreeMapController,saveMapOne,상속(TreeMapAbstractController),com/arms/api/globaltreemap/controller/TreeMapAbstractController.java,56
POST,/arms/globaltreemap/setConnectInfo/pdService/pdServiceVersion/jiraProject.do,GlobalTreeMapController,setConnectInfo_pdService_pdServiceVersion_jiraProject,자체,com/arms/api/globaltreemap/controller/GlobalTreeMapController.java,50
POST,/arms/backoffice/holiday/addHoliday.do,HolidayController,addHoliday,자체,com/arms/api/backoffice/information/timeoff/controller/HolidayController.java,34
POST,/arms/backoffice/holiday/addNode.do,HolidayController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
PUT,/arms/backoffice/holiday/alterNode.do,HolidayController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/arms/backoffice/holiday/alterNodeType.do,HolidayController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/arms/backoffice/holiday/analyzeNode.do,HolidayController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
GET,/arms/backoffice/holiday/getChildNode.do,HolidayController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/arms/backoffice/holiday/getMonitor.do,HolidayController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/arms/backoffice/holiday/getNode.do,HolidayController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
GET,/arms/backoffice/holiday/getNodesWithoutRoot.do,HolidayController,getNodesWithoutRoot,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,108
GET,/arms/backoffice/holiday/getPaginatedChildNode.do,HolidayController,getPaginatedChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,131
POST,/arms/backoffice/holiday/moveNode.do,HolidayController,moveNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,264
DELETE,/arms/backoffice/holiday/removeHoliday.do,HolidayController,removeHoliday,자체,com/arms/api/backoffice/information/timeoff/controller/HolidayController.java,44
DELETE,/arms/backoffice/holiday/removeNode.do,HolidayController,removeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,191
GET,/arms/backoffice/holiday/searchNode.do,HolidayController,searchNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,155
GET,/arms/backoffice/holiday/send-message,HolidayController,sendMessage,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,309
POST,/arms/backoffice/holiday/syncPublicHoliday.do,HolidayController,syncPublicHoliday,자체,com/arms/api/backoffice/information/timeoff/controller/HolidayController.java,29
PUT,/arms/backoffice/holiday/updateHoliday.do,HolidayController,updateHoliday,자체,com/arms/api/backoffice/information/timeoff/controller/HolidayController.java,39
PUT,/arms/backoffice/holiday/updateNode.do,HolidayController,updateNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,217
POST,/arms/jiraIssuePriority/addNode.do,JiraIssuePriorityController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
PUT,/arms/jiraIssuePriority/alterNode.do,JiraIssuePriorityController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/arms/jiraIssuePriority/alterNodeType.do,JiraIssuePriorityController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/arms/jiraIssuePriority/analyzeNode.do,JiraIssuePriorityController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
GET,/arms/jiraIssuePriority/getChildNode.do,JiraIssuePriorityController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/arms/jiraIssuePriority/getMonitor.do,JiraIssuePriorityController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/arms/jiraIssuePriority/getNode.do,JiraIssuePriorityController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
GET,/arms/jiraIssuePriority/getNodesWithoutRoot.do,JiraIssuePriorityController,getNodesWithoutRoot,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,108
GET,/arms/jiraIssuePriority/getPaginatedChildNode.do,JiraIssuePriorityController,getPaginatedChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,131
POST,/arms/jiraIssuePriority/moveNode.do,JiraIssuePriorityController,moveNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,264
DELETE,/arms/jiraIssuePriority/removeNode.do,JiraIssuePriorityController,removeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,191
GET,/arms/jiraIssuePriority/searchNode.do,JiraIssuePriorityController,searchNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,155
GET,/arms/jiraIssuePriority/send-message,JiraIssuePriorityController,sendMessage,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,309
PUT,/arms/jiraIssuePriority/updateNode.do,JiraIssuePriorityController,updateNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,217
POST,/arms/jiraIssuePriorityLog/addNode.do,JiraIssuePriorityLogController,addNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,176
PUT,/arms/jiraIssuePriorityLog/alterNode.do,JiraIssuePriorityLogController,alterNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,230
PUT,/arms/jiraIssuePriorityLog/alterNodeType.do,JiraIssuePriorityLogController,alterNodeType,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,249
GET,/arms/jiraIssuePriorityLog/analyzeNode.do,JiraIssuePriorityLogController,analyzeNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,280
GET,/arms/jiraIssuePriorityLog/getChildNode.do,JiraIssuePriorityLogController,getChildNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,85
GET,/arms/jiraIssuePriorityLog/getMonitor.do,JiraIssuePriorityLogController,getMonitor,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,293
GET,/arms/jiraIssuePriorityLog/getNode.do,JiraIssuePriorityLogController,getNode,상속(TreeAbstractController),com/arms/egovframework/javaservice/treeframework/controller/TreeAbstractController.java,65
