menuname,page,menusource,area,provider,jsfile,line,httpMethod,apiurl,callPattern,note
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/wiki-list.js,108,GET,/auth-user/api/arms/wiki/T_ARMS_WIKI_{selected_pdService}/getChildNode.do,jstree(json_data.ajax),
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/wiki-list.js,121,GET,/auth-user/api/arms/wiki/T_ARMS_WIKI_{selected_pdService}/searchNode.do,jstree(search.ajax),
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/wiki-list.js,186,GET,/auth-user/api/arms/wiki/{getWikiId}/getWiki.do,$.ajax,
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/wiki-list.js,210,POST,/auth-user/api/arms/wiki/T_ARMS_WIKI_{selected_pdService}/addNode.do,$.ajax,
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/wiki-list.js,229,DELETE,/auth-user/api/arms/wiki/T_ARMS_WIKI_{selected_pdService}/removeNode.do,$.ajax,
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/wiki-list.js,244,POST,/auth-user/api/arms/wiki/T_ARMS_WIKI_{selected_pdService}/moveNode.do,$.ajax,
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/wiki-list.js,259,PUT,/auth-user/api/arms/wiki/T_ARMS_WIKI_{selected_pdService}/alterNode.do,$.ajax,
문서 관리,adms,네비게이션,arms,상속(TreeAbstractController),arms/js/adms/wiki-list.js,299,GET,/auth-user/api/arms/wiki/T_ARMS_WIKI_{selected_pdService}/getNode.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/wiki-lock.js,176,PUT,/auth-user/api/arms/wiki/updateWiki.do,$.ajax,
문서 관리,adms,네비게이션,arms,일반 호출,arms/js/adms/wiki-lock.js,416,GET,/auth-user/api/arms/wiki/{documentId}/getWiki.do,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,269,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,337,GET,/auth-user/api/arms/pdService/versions-with-date?c_id={requestedId},$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,409,POST,/auth-user/api/aichat/last-selection,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,421,DELETE,/auth-user/api/aichat/last-selection,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,428,PATCH,/auth-user/api/aichat/rooms/{roomId},$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,452,GET,/auth-user/ai/chat/stop-stream?sessionId={currentStreamId},fetch,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,794,POST,/auth-user/api/aichat/rooms,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,891,POST,/auth-user/ai/chat/stream,fetch via handleStreamResponse(arg0),aiChat.js:551 handleStreamResponse 경유
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,964,POST,/auth-user/api/aichat/rooms/{roomId}/messages,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,985,GET,/auth-user/api/aichat/rooms,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1054,GET,/auth-user/api/aichat/rooms/{roomId}/messages,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1185,DELETE,/auth-user/api/aichat/rooms/{roomId},$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1267,GET,/auth-user/api/aichat/cards/context,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1332,POST,/auth-user/ai/chat/context,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1400,GET,/auth-user/api/aichat/rooms/{roomId}/rag-docs,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1436,POST,/auth-user/api/aichat/rooms/{roomId}/rag-docs,$.ajax,
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1643,POST,/auth-user/ai/chat/stream,fetch via handleStreamResponse(arg0),aiChat.js:551 handleStreamResponse 경유
인공 지능 Beta,aiChat,네비게이션,arms,일반 호출,arms/js/aiChat.js,1663,PUT,/auth-user/api/aichat/rooms/{capturedRoomId}/messages/last-assistant,$.ajax,
ARMS AI,aiSupport,네비게이션,arms,일반 호출,arms/js/aiSupport.js,327,GET,/auth-user/ai/chat/status,$.ajax,
ARMS AI,aiSupport,네비게이션,arms,일반 호출,arms/js/aiSupport.js,356,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
ARMS AI,aiSupport,네비게이션,arms,일반 호출,arms/js/aiSupport.js,376,GET,/auth-user/api/arms/pdService/versions-with-date?c_id={pdServiceId},$.ajax,
ARMS AI,aiSupport,네비게이션,arms,일반 호출,arms/js/aiSupport.js,780,POST,/auth-user/ai/support/stream,fetch,
ARMS AI,aiSupport,네비게이션,arms,일반 호출,arms/js/aiSupport.js,871,GET,/auth-user/ai/support/stop-stream?sessionId={asCurrentStreamId},fetch,
ARMS AI,aiSupport,네비게이션,arms,일반 호출,arms/js/aiSupport.js,1158,GET,/auth-user/api/arms/report/full-data/assignee-list?pdServiceId={asSelectedPdServiceId},fetchCached(url),
공통 모듈,analysis,공통,arms,일반 호출,arms/js/analysis/api/resourceApi.js,88,GET,/auth-admin/api/arms/analysis/resource/issue-status-by-assignee,$.ajax,
공통 모듈,analysis,공통,arms,일반 호출,arms/js/analysis/api/resourceApi.js,119,GET,/auth-admin/api/arms/analysis/resource/assignees-info,$.ajax,
공통 모듈,analysis,공통,arms,일반 호출,arms/js/analysis/topmenu/topMenuApi.js,26,GET,/auth-user/api/arms/analysis/top-menu/version/period,ajaxPromise(url),
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,135,GET,/auth-user/api/arms/pdServicePure,$.ajax,
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,216,POST,/auth-admin/api/arms/analysis/cost/product-accumulate-cost-by-month,$.ajax,
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,401,GET,/auth-user/api/arms/pdServiceVersion/pure?c_id={selected_pdService},$.ajax,
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,451,POST,/auth-admin/api/arms/analysis/cost/version-req-assignees,$.ajax,
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,574,GET,/auth-admin/api/arms/salaries/excel-upload.do,fileupload(url),
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,636,POST,/auth-admin/api/arms/salaries/excel-download.do?excelFileName=인력별_연봉정보_템플릿.xlsx,$.ajax,
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,695,POST,/auth-admin/api/arms/analysis/cost/calculation,$.ajax,
비용 분석 - Cost,analysisCost,네비게이션,arms,일반 호출,arms/js/analysisCost.js,1396,PUT,/auth-admin/api/arms/salaries,$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,238,GET,/auth-admin/api/arms/analysis/resource/issue-status-stacked-bar,$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,268,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,361,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selected_pdService},$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,412,GET,/auth-admin/api/arms/analysis/resource/word-cloud-data,$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,450,GET,/auth-admin/api/arms/analysis/resource/top-contributors/pie,$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,610,POST,/auth-admin/api/arms/analysis/resource/top-contributors/horizontal-bar-at-once,$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,752,POST,/auth-admin/api/arms/analysis/resource/top-contributors/horizontal-bar,$.ajax,
자원 분석 - Resource,analysisResource,네비게이션,arms,일반 호출,arms/js/analysisResource.js,890,GET,/auth-admin/api/arms/analysis/resource/assignees-requirements-involvements-v3,$.ajax,
범위 분석 - Scope,analysisScope,네비게이션,arms,일반 호출,arms/js/analysisScope.js,164,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
범위 분석 - Scope,analysisScope,네비게이션,arms,일반 호출,arms/js/analysisScope.js,264,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selected_pdService},$.ajax,
범위 분석 - Scope,analysisScope,네비게이션,arms,일반 호출,arms/js/analysisScope.js,332,POST,/auth-admin/api/arms/analysis/scope/T_ARMS_REQADD_{pdServiceLink}/issue-network,$.ajax,
범위 분석 - Scope,analysisScope,네비게이션,arms,일반 호출,arms/js/analysisScope.js,663,POST,/auth-admin/api/arms/analysis/scope/getCircularPackingChartData/T_ARMS_REQADD_{pdServiceLink}/getReqAddListByFilter,$.ajax,
범위 분석 - Scope,analysisScope,네비게이션,arms,상속(TreeAbstractController),arms/js/analysisScope.js,801,GET,/auth-user/api/arms/reqState/getNodesWithoutRoot.do,$.ajax,
범위 분석 - Scope,analysisScope,네비게이션,arms,일반 호출,arms/js/analysisScope.js,826,POST,/auth-admin/api/arms/analysis/scope/req-per-version/T_ARMS_REQADD_{pdServiceLink}/getReqAddListByFilter,$.ajax,원문 말미 ? 제거(경로 정규화)
범위 분석 - Scope,analysisScope,네비게이션,arms,일반 호출,arms/js/analysisScope.js,954,POST,/auth-admin/api/arms/analysis/scope/tree-bar-data,$.ajax,
범위 분석 - Scope,analysisScope,네비게이션,arms,일반 호출,arms/js/analysisScope.js,1304,GET,/auth-admin/api/arms/analysis/scope,(ajax) via dataTable_extendBuild->dataTable_build(arg1),common.js:1799 dataTable_extendBuild->dataTable_build 경유
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,131,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,177,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selected_pdService},$.ajax,
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,425,GET,/auth-user/api/arms/pdService/versions-with-date?c_id={pdserviceId},$.ajax,
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,768,POST,/auth-admin/api/arms/analysis/time/scatter-data,$.ajax,
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,965,POST,/auth-admin/api/arms/analysis/time/heatmap-data,$.ajax,
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,1037,POST,/auth-admin/api/arms/analysis/time/updated-issue/multi-combination-data,$.ajax,
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,1756,POST,/auth-admin/api/arms/analysis/time/updated-timeline,$.ajax,
일정 분석 - Time,analysisTime,네비게이션,arms,일반 호출,arms/js/analysisTime.js,1787,POST,/auth-admin/api/arms/analysis/time/updated-ridgeline,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,130,GET,./help/full-page/{locale}/{help}.json,$.getJSON,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,343,GET,./help/page-section/{locale}/{help}.json,$.getJSON,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,550,POST,/logout,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,619,GET,UNRESOLVED:loadPlugin(url),$.ajax,"dataType:script 정적 플러그인 로더 — 인자는 reference/ 하위 js·css 경로, REST 아님"
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,964,GET,/auth-user/me,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,1013,GET,/auth-user/search-user/{userName},$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,1068,GET,UNRESOLVED:ajaxGet(url),$.ajax,getJsonForPrototype 전용 유틸 — 저장소 내 호출부 없음
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,1958,{type},UNRESOLVED:ajax_sample(),$.ajax,문서용 $.ajax 샘플 함수 — url 값이 '요청을 보낼 URL' 설명문
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,2580,GET,/auth-anon/yml/language-config/packs/language/{locale},$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,2592,GET,/arms/locales/{locale}.json,$.ajax,
공통 모듈,common,공통,arms,상속(TreeAbstractController),arms/js/common.js,2828,GET,/auth-user/api/arms/reqStateCategory/getNodesWithoutRoot.do,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,2848,GET,/auth-user/api/arms/reqState/getReqStateListFilter.do,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common.js,2938,GET,/auth-user/user/{userId}/check-permission/{currentPage},$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common/api/topMenuCoreApi.js,138,GET,/auth-user/api/arms/analysis/top-menu/T_ARMS_REQADD_{ctx_pdServiceId}/getReqAddListByFilter,ajaxPromise(url),원문 말미 ? 제거(경로 정규화)
공통 모듈,common,공통,arms,일반 호출,arms/js/common/api/topMenuCoreApi.js,163,GET,/auth-user/api/arms/analysis/top-menu/issue/req-and-subtask,ajaxPromise(url),
공통 모듈,common,공통,arms,일반 호출,arms/js/common/api/topMenuCoreApi.js,195,GET,/auth-user/api/arms/analysis/top-menu/resource-info,ajaxPromise(url),
공통 모듈,common,공통,arms,일반 호출,arms/js/common/chart/d3/combinationChart.js,20,GET,/auth-user/api/arms/dashboard/requirements-jira-issue-statuses,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common/chart/d3/donutChart.js,31,GET,/auth-user/api/arms/dashboard/aggregation/flat,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common/chart/d3/sankey.js,249,GET,/auth-user/api/arms/dashboard/version-assignee-summary,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common/chart/d3/sankey.js,279,GET,/auth-admin/api/arms/analysis/resource/version-assignee-summary,$.ajax,
공통 모듈,common,공통,arms,일반 호출,arms/js/common/jspreadsheet/jspreadsheetAPI.js,550,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard.js,143,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard.js,218,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selected_pdService},$.ajax,
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard/api/dashboardApi.js,34,GET,/auth-user/api/arms/pdServiceVersion,ajaxPromise(url),
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard/api/dashboardApi.js,111,GET,/auth-user/api/arms/dashboard/aggregate-weekly-req-issue-status,ajaxPromise(url),
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard/api/dashboardApi.js,130,GET,/auth-user/api/arms/pdService/versions-with-date?c_id={pdServiceId},ajaxPromise(url),
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard/api/dashboardApi.js,150,GET,/auth-user/api/arms/dashboard/version-assignee-summary,ajaxPromise(url),
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard/api/dashboardApi.js,163,GET,/auth-user/api/arms/dashboard/assignees-requirements-involvements-v3,ajaxPromise(url),
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard/api/dashboardApi.js,181,GET,/auth-user/api/arms/dashboard/top-req-assignee,ajaxPromise(url),
"Time, Scope, Resource",dashboard,네비게이션,arms,일반 호출,arms/js/dashboard/api/dashboardApi.js,205,GET,/auth-user/api/arms/dashboard/top-req-state-info/T_ARMS_REQADD_{pdServiceId}/getReqAddListByFilter,ajaxPromise(url),
"Time, Scope, Resource",dashboard,네비게이션,arms,상속(TreeAbstractController),arms/js/dashboard/api/dashboardApi.js,227,GET,/auth-user/api/arms/reqState/getNodesWithoutRoot.do,ajaxPromise(url),
Dashboard (detail),detail,content-header,arms,일반 호출,arms/js/detail.js,91,GET,/auth-user/api/arms/reqAdd/T_ARMS_REQADD_/getDetail.do?jiraProject={selectedJiraProject}&jiraServer={selectedJiraServer}&pdService={selectedPdService}&pdServiceVersion={selectedPdServiceVersion}&reqAdd={selectedJsTreeId},$.ajax,
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,88,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,117,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selected_pdService},$.ajax,
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,188,POST,/auth-user/api/arms/detail-dashboard/T_ARMS_REQADD_{selectedPdServiceId}/project-status,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,188,POST,/auth-user/api/arms/detail-dashboard/T_ARMS_REQADD_{selectedPdServiceId}/quality,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,188,POST,/auth-user/api/arms/detail-dashboard/T_ARMS_REQADD_{selectedPdServiceId}/requirement-overview,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,188,POST,/auth-user/api/arms/detail-dashboard/T_ARMS_REQADD_{selectedPdServiceId}/time-compliance,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,188,POST,/auth-user/api/arms/detail-dashboard/contribution,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
개인성과지표,detail_dashboard,네비게이션,arms,일반 호출,arms/js/detail_dashboard.js,426,GET,/auth-user/api/arms/report/full-data/assignee-list?pdServiceId={pdServiceId},$.ajax,
KPI Dashboard,detail_kpi,content-header,arms,일반 호출,arms/js/detail_kpi.js,137,GET,/auth-user/api/arms/pdServicePure/getPdServiceMonitor.do,$.ajax,
KPI Dashboard,detail_kpi,content-header,arms,일반 호출,arms/js/detail_kpi.js,162,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selected_pdService},$.ajax,
KPI Dashboard,detail_kpi,content-header,arms,일반 호출,arms/js/detail_kpi.js,238,POST,/auth-user/search/engine/kpi/dashboard/contribution,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
KPI Dashboard,detail_kpi,content-header,arms,일반 호출,arms/js/detail_kpi.js,238,POST,/auth-user/search/engine/kpi/dashboard/project-status,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
KPI Dashboard,detail_kpi,content-header,arms,일반 호출,arms/js/detail_kpi.js,238,POST,/auth-user/search/engine/kpi/dashboard/quality,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
KPI Dashboard,detail_kpi,content-header,arms,일반 호출,arms/js/detail_kpi.js,238,POST,/auth-user/search/engine/kpi/dashboard/requirement-overview,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
KPI Dashboard,detail_kpi,content-header,arms,일반 호출,arms/js/detail_kpi.js,238,POST,/auth-user/search/engine/kpi/dashboard/time-compliance,$.ajax,파라미터 → 같은 파일 호출부 인자 대입
Dashboard (detail_per_version),detail_per_version,content-header,arms,일반 호출,arms/js/detail_per_version.js,62,GET,/auth-user/api/arms/pdService/versions-with-date?c_id={selectedPdService},$.ajax,
Dashboard (detail_per_version),detail_per_version,content-header,arms,상속(TreeAbstractController),arms/js/detail_per_version.js,149,GET,/auth-user/api/arms/pdServiceVersion/getNode.do,$.ajax,
Dashboard (detail_qna),detail_qna,content-header,arms,일반 호출,arms/js/detail_qna.js,58,GET,/auth-user/api/arms/reqComment/getTotalCountReqComment.do,$.ajax,
Dashboard (detail_qna),detail_qna,content-header,arms,일반 호출,arms/js/detail_qna.js,102,GET,/auth-user/api/arms/reqComment/getReqCommentPagingByPdService.do,$.ajax,
Dashboard (detail_qna),detail_qna,content-header,arms,일반 호출,arms/js/detail_qna.js,154,POST,/auth-user/api/arms/reqComment/addReqComment.do,$.ajax,
Dashboard (detail_qna),detail_qna,content-header,arms,상속(TreeAbstractController),arms/js/detail_qna.js,264,DELETE,/auth-user/api/arms/reqComment/removeNode.do,$.ajax,
Dashboard (detail_qna),detail_qna,content-header,arms,상속(TreeAbstractController),arms/js/detail_qna.js,311,PUT,/auth-user/api/arms/reqComment/updateNode.do,$.ajax,
Dashboard (detail_total_pdservice),detail_total_pdservice,content-header,arms,일반 호출,arms/js/detail_total_pdservice.js,120,GET,/auth-user/api/arms/pdServiceDetail/uploadFileToNode.do,fileupload(url),
Dashboard (detail_total_pdservice),detail_total_pdservice,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_pdservice.js,164,GET,/auth-user/api/arms/pdServicePure/getNode.do,$.ajax,
Dashboard (detail_total_pdservice),detail_total_pdservice,content-header,arms,일반 호출,arms/js/detail_total_pdservice.js,179,GET,/auth-user/api/arms/pdServiceDetail/getNodes.do/{selectedPdService},$.ajax,
Dashboard (detail_total_pdservice),detail_total_pdservice,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_pdservice.js,222,GET,/auth-user/api/arms/pdServiceDetail/getNode.do,$.ajax,
Dashboard (detail_total_pdservice),detail_total_pdservice,content-header,arms,일반 호출,arms/js/detail_total_pdservice.js,252,GET,/auth-user/api/arms/pdServiceDetail/getFilesByNode.do,$.ajax,
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,일반 호출,arms/js/detail_total_reqadd.js,95,GET,/auth-user/api/arms/pdService/getVersionList?c_id={selectedPdService},$.ajax,
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,117,GET,/auth-user/api/arms/reqAdd/T_ARMS_REQADD_{selectedPdService}/getChildNode.do,jstree(json_data.ajax) via jsTreeBuild(arg1),common.js:1326 jsTreeBuild 경유
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,117,POST,/auth-user/api/arms/reqAdd/sync/T_ARMS_REQADD_{selectedPdService}/addNode.do,$.post via jsTreeBuild(arg2),common.js:1451 jsTreeBuild 경유
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,117,PUT,/auth-user/api/arms/reqAdd/sync/T_ARMS_REQADD_{selectedPdService}/alterNode.do,$.ajax via jsTreeBuild(arg2),common.js:1487 jsTreeBuild 경유
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,117,PUT,/auth-user/api/arms/reqAdd/sync/T_ARMS_REQADD_{selectedPdService}/alterNodeType.do,$.ajax via jsTreeBuild(arg2),common.js:1506 jsTreeBuild 경유
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,117,POST,/auth-user/api/arms/reqAdd/sync/T_ARMS_REQADD_{selectedPdService}/moveNode.do,$.ajax via jsTreeBuild(arg2),common.js:1524 jsTreeBuild 경유
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,117,DELETE,/auth-user/api/arms/reqAdd/sync/T_ARMS_REQADD_{selectedPdService}/removeNode.do,$.ajax via jsTreeBuild(arg2),common.js:1472 jsTreeBuild 경유
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,206,GET,/auth-user/api/arms/reqAdd/T_ARMS_REQADD_{selectedPdService}/getMonitor.do,(ajax) via dataTable_extendBuild->dataTable_build(arg1),common.js:1799 dataTable_extendBuild->dataTable_build 경유
Dashboard (detail_total_reqadd),detail_total_reqadd,content-header,arms,상속(TreeAbstractController),arms/js/detail_total_reqadd.js,221,GET,/auth-user/api/arms/reqAdd/T_ARMS_REQADD_{selectedPdService}/getNode.do?c_id={selectId},$.ajax,
